type_concept_id,type_name
242,Other government reported or identified death
254,EHR Record immediate cause of death
255,EHR Record contributory cause of death
256,EHR Record underlying cause of death
257,Hospitalization Cost Record
261,US Social Security Death Master File record
5001,Test ordered through EHR
5031,Amount paid by the patient or reimbursed by the payer
5032,"Amount charged to the patient or the payer by the provider, list price"
5033,Cost incurred by the provider
5086,Condition tested for by diagnostic procedure
9188,Final report
31968,Payer system (Primary payer)
31969,Payer system (Secondary payer)
31970,Payer system (Paid premium)
32019,EHR billing diagnosis
32020,EHR encounter diagnosis
32021,Visit derived from encounter on medical claim
32022,Visit derived from encounter on pharmacy claim
32023,Visit derived from encounter on medical facility claim
32024,Visit derived from encounter on medical professional claim
32025,Visit derived from encounter on medical facility claim paid
32026,Visit derived from encounter on medical facility claim denied
32027,Visit derived from encounter on medical facility claim deferred
32028,Visit derived from encounter on medical professional claim paid
32029,Visit derived from encounter on medical professional claim denied
32030,Visit derived from encounter on medical professional claim deferred
32031,Visit derived from encounter on claim authorization
32032,Visit derived from encounter on vision claim
32033,Visit derived from encounter on dental claim
32034,Visit derived from EHR billing record
32035,Visit derived from EHR encounter record
32423,NLP derived
32424,NLP derived
32425,NLP derived
32426,NLP derived
32445,NLP derived
32465,Inferred from claim
32466,Inferred from claim
32467,Inferred from claim
32468,Inferred from claim
32488,Urgent lab result
32489,Accelerated lab result
32490,"Payer enrollment status ""Deceased"""
32491,"Medical claim discharge status ""Died"""
32492,Medical claim diagnostic code indicating death
32493,Medical claim DRG code indicating death
32494,"EHR record patient status ""Deceased"""
32495,Death Certificate immediate cause
32496,Death Certificate contributory cause
32497,Death Certificate underlying cause
32498,"EHR discharge status ""Expired"""
32499,Other government reported or identified death
32500,US Social Security Death Master File record
32501,EHR Record immediate cause of death
32502,EHR Record contributory cause of death
32503,EHR Record underlying cause of death
32504,Person (self) reported
32505,Provider System
32506,"Payer enrollment status ""Deceased"""
32507,"Medical claim discharge status ""Died"""
32508,Medical claim diagnostic code indicating death
32509,Medical claim DRG code indicating death
32510,"EHR record patient status ""Deceased"""
32511,Death Certificate immediate cause
32512,Death Certificate contributory cause
32513,Death Certificate underlying cause
32514,"EHR discharge status ""Expired"""
32515,EHR Record immediate cause of death
32516,EHR Record contributory cause of death
32517,EHR Record underlying cause of death
32518,Other government reported or identified death
32519,US Social Security Death Master File record
32534,Tumor Registry
32535,Tumor Registry
32762,Reference Lab result
32809,Case Report Form
32810,Claim
32811,Claim authorization
32812,Claim discharge record
32813,Claim enrolment record
32814,Cost record
32815,Death Certificate
32816,Dental claim
32817,EHR
32818,EHR administration record
32819,EHR admission note
32820,EHR ancillary report
32821,EHR billing record
32822,EHR chief complaint
32823,EHR discharge record
32824,EHR discharge summary
32825,EHR dispensing record
32826,EHR emergency room note
32827,EHR encounter record
32828,EHR episode record
32829,EHR inpatient note
32830,EHR medication list
32831,EHR note
32832,EHR nursing report
32833,EHR order
32834,EHR outpatient note
32835,EHR Pathology report
32836,EHR physical examination
32837,EHR planned dispensing record
32838,EHR prescription
32839,EHR prescription issue record
32840,EHR problem list
32841,EHR radiology report
32842,EHR referral record
32843,External CDM instance
32844,Facility claim
32845,Facility claim detail
32846,Facility claim header
32847,Geographic isolation record
32848,Government report
32849,Health Information Exchange record
32850,Health Risk Assessment
32851,Healthcare professional filled survey
32852,Hospital cost
32853,Inpatient claim
32854,Inpatient claim detail
32855,Inpatient claim header
32856,Lab
32857,Mail order record
32858,NLP
32859,Outpatient claim
32860,Outpatient claim detail
32861,Outpatient claim header
32862,Patient filled survey
32863,Patient or payer paid record
32864,Patient reported cost
32865,Patient self-report
32866,Payer system record (paid premium)
32867,Payer system record (primary payer)
32868,Payer system record (secondary payer)
32869,Pharmacy claim
32870,Pre-qualification time period
32871,Professional claim
32872,Professional claim detail
32873,Professional claim header
32874,Provider charge list price
32875,Provider financial system
32876,Provider incurred cost record
32877,Randomization record
32878,Reference lab
32879,Registry
32880,Standard algorithm
32881,Standard algorithm from claims
32882,Standard algorithm from EHR
32883,Survey
32884,Urgent lab
32885,US Social Security Death Master File
32886,Vision claim
506632,Report from health visitor
506649,Referrer details
506650,Individual requirement
506651,ADRT - Advance decision to refuse treatment
506652,Lasting power of attorney for health and welfare or court-appointed deputy or equivalent
506654,Information and advice given
506730,Research study document
506731,Research study withdrawal document
506732,Research study unblinding document
506733,Research study adverse event document
506734,Research study randomisation document
506735,Research study visit document
506736,Diagnostic coronary angiography report
506737,Record of implantation of cardiac electronic device
506738,Genetic report
506740,Blood transfusion report
506747,Virology report
506748,Cellular pathology report
507620,Benzodiazepine clinical management plan
507621,Cancer chemotherapy management plan
507622,Care plan in accordance with Section 117 of the Mental Health Act 1983 (England and Wales)
507623,Child health plan
507624,Individual education plan
507625,Programme of study for child with special needs
507626,Medication management plan
507627,Mental health contingency plan
507628,Mental health care programme approach contingency plan
507629,Mental health care programme approach crisis plan
507630,Wheeze clinical management plan
507631,Mental Health Act or equivalent status
507632,Occupational history
507633,Risk from others
507634,Procedures requested
507635,Advance statement
507636,Drug/substance use
507637,Treatments and interventions and changes made to treatments
507667,Multi-agency action plan
507668,Deprivation of Liberty Safeguards or equivalent
507669,Investigations requested
507682,"Patient and carer concerns, expectations and wishes"
507691,Ambulatory blood pressure monitoring report
507769,Child protection plan
507770,Mental health care coordination plan
507771,Vulnerable adult care plan
507772,Educational history
507773,Consent for treatment/intervention record
581373,Physician administered drug (identified from EHR order)
581412,Procedure Recorded from a Survey
581413,Observation from Measurement
581452,Dispensed in Outpatient office
600724,Diabetes care plan
600729,Medical virology care plan
600766,Gynecology discharge summary
601174,Peritoneal dialysis care plan
602227,Paediatric clinical haematology care plan
602228,Paediatric clinical immunology and allergy care plan
602229,Paediatric clinical pharmacology care plan
602230,Paediatric diabetes care plan
602233,The Short-term Holding Facility Rules 2018 Rule 32(1) report - detainee whose health is likely to be injuriously affected by continued detention or the conditions of detention
602234,The Detention Centre Rules 2001 Rule 35(2) report - detainee suspected of having suicidal intentions
602235,The Short-term Holding Facility Rules 2018 Rule 32(2) report - detainee suspected of having suicidal intentions
603236,Burns care plan
603237,Medical psychotherapy care plan
603249,Neurosurgical care plan
603250,Nuclear medicine care plan
603251,Ophthalmic and vision science care plan
603252,Oral and maxillofacial surgery care plan
603253,Orthogeriatric medicine care plan
604742,Medication history section
604771,History of past procedure section
604773,Past medical history section
608108,Wellness record
608447,Cancer EOTS (End of Treatment Summary) Plan
608491,Pregnancy bereavement record
608505,SACT (Systemic Anti-Cancer Therapy) record
608556,Neuropsychiatry care plan
608569,Acute internal medicine care plan
608570,Addiction care plan
608571,Adult mental health care plan
608572,Congenital heart disease care plan
608573,Emergency medicine care plan
608577,Endocrine surgery care plan
608578,Fetal medicine care plan
608579,Inherited metabolic medicine care plan
608580,Maxillofacial surgery care plan
608581,Medical oncology care plan
608582,Medical ophthalmology care plan
608594,Vascular physiology care plan
608611,Colposcopy clinical record
608623,Royal College of Physicians NEWS2 (National Early Warning Score 2) chart
608624,Mental health dual diagnosis care plan
608625,Mental health recovery and rehabilitation care plan
608626,Music therapy care plan
608627,Neurology care plan
608628,Orthoptics care plan
608636,Paediatric audio vestibular medicine care plan
608637,Paediatric hepatology care plan
608638,Paediatric inherited metabolic medicine care plan
608639,Paediatric interventional radiology care plan
608640,Paediatric oral and maxillofacial surgery care plan
608641,Paediatric palliative medicine care plan
608642,Palliative medicine care plan
608665,The Detention Centre Rules 2001 Rule 35 report - special illnesses and conditions (including torture claims)
608666,The Short-term Holding Facility Rules 2018 Rule 32 report - special illnesses and conditions (including torture claims)
608667,The Detention Centre Rules 2001 Rule 35(1) report - detainee whose health is likely to be injuriously affected by continued detention or the conditions of detention
608668,The Detention Centre Rules 2001 Rule 35(3) report - concerns that a detainee may have been a victim of torture
608669,The Short-term Holding Facility Rules 2018 Rule 32(3) report - concerns that a detainee may have been a victim of torture
608681,The Detention Centre Rules 2001 Rule 35(3) - letter to detainee
608682,The Short-term Holding Facility Rules 2018 Rule 32(3) - letter to detainee
618632,Newborn discharge summary
703249,Point of care/express lab
703454,Urgent supply of prescription items by community pharmacy
703456,List of consultations
705183,Patient self-tested
762833,Medication summary
762908,Procedure reason record
764018,Labor and delivery oral intake plan
764019,Labor and delivery non-medicinal pain relief plan
764466,Electronic case report form
764583,Body mass index follow up plan
764584,Labor and delivery plan
764585,Anesthesia and pain medication during labor plan
764762,Legal guardianship documentation
765434,CMS supervisory note
765828,Re-entitlement form
1397707,Quarter 1 2016 RAGNAROK
3519160,Staff employment record: [ANC1] or [GP/PS1]
3519335,Quarter 3 1993 SMOOTHLY
3519496,Medicolegal administration
3519500,Quarter 3 2003 METAURUS
3519869,Emigration medical administration
